indice_tiempo;medio_de_transporte;pais_origen;viajes_de_turistas_no_residentes
1/2/2011;Fluvial/Marítima;Europa;20058
1/2/2011;Fluvial/Marítima;Resto del mundo;4392
1/2/2011;Terrestre;Bolivia;17593
1/2/2011;Terrestre;Brasil;19073
1/2/2011;Terrestre;Chile;167556
1/2/2011;Terrestre;Paraguay;53990
1/2/2011;Terrestre;Uruguay;23924
1/2/2011;Terrestre;EE.UU. y Canadá;7211
1/2/2011;Terrestre;Resto de América;9976
1/2/2011;Terrestre;Europa;31876
1/2/2011;Terrestre;Resto del mundo;14713
1/3/2011;Aérea;Bolivia;4249
1/3/2011;Aérea;Brasil;72774
1/3/2011;Aérea;Chile;21282
1/3/2011;Aérea;Paraguay;4723
1/3/2011;Aérea;Uruguay;6457
1/3/2011;Aérea;EE.UU. y Canadá;33097
1/3/2011;Aérea;Resto de América;27437
1/3/2011;Aérea;Europa;63836
1/3/2011;Aérea;Resto del mundo;16559
1/3/2011;Fluvial/Marítima;Bolivia;2318
1/3/2011;Fluvial/Marítima;Brasil;20178
1/3/2011;Fluvial/Marítima;Chile;1285
1/3/2011;Fluvial/Marítima;Paraguay;4558
1/3/2011;Fluvial/Marítima;Uruguay;31221
1/3/2011;Fluvial/Marítima;EE.UU. y Canadá;8945
1/3/2011;Fluvial/Marítima;Resto de América;4570
1/3/2011;Fluvial/Marítima;Europa;13719
1/3/2011;Fluvial/Marítima;Resto del mundo;2212
1/3/2011;Terrestre;Bolivia;14055
1/3/2011;Terrestre;Brasil;27801
1/3/2011;Terrestre;Chile;72215
1/3/2011;Terrestre;Paraguay;44508
1/3/2011;Terrestre;Uruguay;22686
1/3/2011;Terrestre;EE.UU. y Canadá;7298
1/3/2011;Terrestre;Resto de América;8915
1/3/2011;Terrestre;Europa;28855
1/3/2011;Terrestre;Resto del mundo;13839
1/4/2011;Aérea;Bolivia;4497
1/4/2011;Aérea;Brasil;76963
1/4/2011;Aérea;Chile;21415
1/4/2011;Aérea;Paraguay;7226
1/4/2011;Aérea;Uruguay;7828
1/4/2011;Aérea;EE.UU. y Canadá;27343
1/4/2011;Aérea;Resto de América;35027
1/4/2011;Aérea;Europa;51252
1/4/2011;Aérea;Resto del mundo;14023
1/4/2011;Fluvial/Marítima;Bolivia;2979
1/4/2011;Fluvial/Marítima;Brasil;10429
1/4/2011;Fluvial/Marítima;Chile;834
1/4/2011;Fluvial/Marítima;Paraguay;4500
1/4/2011;Fluvial/Marítima;Uruguay;44144
1/4/2011;Fluvial/Marítima;EE.UU. y Canadá;3228
1/4/2011;Fluvial/Marítima;Resto de América;6751
1/4/2011;Fluvial/Marítima;Europa;7234
1/4/2011;Fluvial/Marítima;Resto del mundo;1356
1/4/2011;Terrestre;Bolivia;12522
1/4/2011;Terrestre;Brasil;36802
1/4/2011;Terrestre;Chile;61817
1/4/2011;Terrestre;Paraguay;47433
1/4/2011;Terrestre;Uruguay;31927
1/4/2011;Terrestre;EE.UU. y Canadá;4062
1/4/2011;Terrestre;Resto de América;10416
1/4/2011;Terrestre;Europa;20930
1/4/2011;Terrestre;Resto del mundo;7594
1/5/2011;Aérea;Bolivia;3799
1/5/2011;Aérea;Brasil;73760
1/5/2011;Aérea;Chile;23130
1/5/2011;Aérea;Paraguay;6047
1/5/2011;Aérea;Uruguay;6204
1/5/2011;Aérea;EE.UU. y Canadá;22514
1/5/2011;Aérea;Resto de América;28385
1/5/2011;Aérea;Europa;42298
1/5/2011;Aérea;Resto del mundo;10525
1/5/2011;Fluvial/Marítima;Bolivia;3101
1/5/2011;Fluvial/Marítima;Brasil;7527
1/5/2011;Fluvial/Marítima;Chile;789
1/5/2011;Fluvial/Marítima;Paraguay;5347
1/5/2011;Fluvial/Marítima;Uruguay;30946
1/5/2011;Fluvial/Marítima;EE.UU. y Canadá;2537
1/5/2011;Fluvial/Marítima;Resto de América;4978
1/5/2011;Fluvial/Marítima;Europa;4462
1/5/2011;Fluvial/Marítima;Resto del mundo;1141
1/5/2011;Terrestre;Bolivia;13962
1/5/2011;Terrestre;Brasil;27688
1/5/2011;Terrestre;Chile;46199
1/5/2011;Terrestre;Paraguay;40233
1/5/2011;Terrestre;Uruguay;20340
1/5/2011;Terrestre;EE.UU. y Canadá;2327
1/5/2011;Terrestre;Resto de América;8920
1/5/2011;Terrestre;Europa;12252
1/5/2011;Terrestre;Resto del mundo;4706
1/6/2011;Aérea;Bolivia;3515
1/6/2011;Aérea;Brasil;63197
1/6/2011;Aérea;Chile;17316
1/6/2011;Aérea;Paraguay;3918
1/6/2011;Aérea;Uruguay;4335
1/6/2011;Aérea;EE.UU. y Canadá;19513
1/6/2011;Aérea;Resto de América;23120
1/6/2011;Aérea;Europa;28224
1/6/2011;Aérea;Resto del mundo;8090
1/6/2011;Fluvial/Marítima;Bolivia;2982
1/6/2011;Fluvial/Marítima;Brasil;7893
1/6/2011;Fluvial/Marítima;Chile;527
1/6/2011;Fluvial/Marítima;Paraguay;4775
1/6/2011;Fluvial/Marítima;Uruguay;32168
1/6/2011;Fluvial/Marítima;EE.UU. y Canadá;2155
1/6/2011;Fluvial/Marítima;Resto de América;4574
1/6/2011;Fluvial/Marítima;Europa;3514
1/6/2011;Fluvial/Marítima;Resto del mundo;984
1/6/2011;Terrestre;Bolivia;14254
1/6/2011;Terrestre;Brasil;24651
1/6/2011;Terrestre;Chile;26807
1/6/2011;Terrestre;Paraguay;35141
1/6/2011;Terrestre;Uruguay;14989
1/6/2011;Terrestre;EE.UU. y Canadá;1802
1/6/2011;Terrestre;Resto de América;9812
1/6/2011;Terrestre;Europa;8217
1/6/2011;Terrestre;Resto del mundo;2507
1/7/2011;Aérea;Bolivia;6052
1/7/2011;Aérea;Brasil;107660
1/7/2011;Aérea;Chile;28174
1/7/2011;Aérea;Paraguay;6651
1/7/2011;Aérea;Uruguay;6112
1/7/2011;Aérea;EE.UU. y Canadá;21926
1/7/2011;Aérea;Resto de América;41110
1/7/2011;Aérea;Europa;29796
1/7/2011;Aérea;Resto del mundo;8526
1/7/2011;Fluvial/Marítima;Bolivia;4006
1/7/2011;Fluvial/Marítima;Brasil;12612
1/7/2011;Fluvial/Marítima;Chile;864
1/7/2011;Fluvial/Marítima;Paraguay;6646
1/7/2011;Fluvial/Marítima;Uruguay;51596
1/7/2011;Fluvial/Marítima;EE.UU. y Canadá;2586
1/7/2011;Fluvial/Marítima;Resto de América;6972
1/7/2011;Fluvial/Marítima;Europa;4167
1/7/2011;Fluvial/Marítima;Resto del mundo;1181
1/7/2011;Terrestre;Bolivia;21325
1/7/2011;Terrestre;Brasil;30257
1/7/2011;Terrestre;Chile;70164
1/7/2011;Terrestre;Paraguay;54848
1/7/2011;Terrestre;Uruguay;42802
1/7/2011;Terrestre;EE.UU. y Canadá;2087
1/7/2011;Terrestre;Resto de América;10770
1/7/2011;Terrestre;Europa;11730
1/7/2011;Terrestre;Resto del mundo;2830
1/8/2011;Aérea;Bolivia;4532
